  cell  ,E,W,N,S
"(113, 39)",0,0,1,1
"(114, 39)",0,0,1,1
"(115, 39)",1,0,1,0
"(116, 39)",0,1,0,1
"(117, 39)",1,1,1,0
"(118, 39)",0,1,0,1
"(119, 39)",1,0,1,0
"(120, 39)",1,0,0,1
"(121, 39)",1,0,1,1
"(122, 39)",0,0,1,1
"(123, 39)",0,0,1,0
"(124, 39)",1,1,0,0
"(125, 39)",1,0,0,1
"(126, 39)",1,0,1,0
"(127, 39)",0,0,0,1
"(128, 39)",0,1,1,0
"(129, 39)",1,0,0,1
"(130, 39)",0,0,1,1
"(131, 39)",0,0,1,1
"(132, 39)",1,0,1,0
"(133, 39)",0,0,0,1
"(134, 39)",1,0,1,1
"(135, 39)",0,1,1,0
"(136, 39)",1,1,0,0
"(137, 39)",1,1,0,0
"(138, 39)",0,1,0,1
"(139, 39)",1,1,1,0
"(140, 39)",1,1,0,0
"(141, 39)",0,1,0,1
"(142, 39)",0,0,1,1
"(143, 39)",1,0,1,0
"(144, 39)",1,0,0,1
"(145, 39)",0,1,1,0
"(146, 39)",0,1,0,0
"(147, 39)",1,1,0,0
"(148, 39)",0,1,0,1
"(149, 39)",0,0,1,1
"(150, 39)",0,1,1,0
"(151, 39)",1,1,0,1
"(152, 39)",0,0,1,1
"(153, 39)",0,0,1,1
"(154, 39)",0,1,1,0
"(155, 39)",1,1,0,0
"(156, 39)",0,1,0,1
"(157, 39)",0,1,1,1
"(158, 39)",0,1,1,0
"(159, 39)",0,1,0,1
"(160, 39)",0,0,1,1
"(161, 39)",0,0,1,1
"(162, 39)",1,0,1,0
"(163, 39)",0,0,0,1
"(164, 39)",0,0,1,1
"(165, 39)",0,1,1,1
"(166, 39)",1,0,1,0
"(167, 39)",1,0,0,1
"(168, 39)",1,1,1,0
"(169, 39)",1,0,0,1
"(170, 39)",0,1,1,1
"(171, 39)",0,0,1,1
"(172, 39)",0,0,1,0
"(173, 39)",1,0,0,1
"(174, 39)",0,1,1,1
"(175, 39)",0,0,1,1
"(176, 39)",1,0,1,0
"(177, 39)",0,1,0,1
"(178, 39)",0,1,1,0
"(179, 39)",1,0,0,0
"(180, 39)",0,1,0,1
"(181, 39)",0,1,1,0
"(182, 39)",1,1,0,0
"(183, 39)",1,1,0,0
"(184, 39)",1,0,0,0
"(185, 39)",1,1,0,0
"(186, 39)",1,1,0,0
"(187, 39)",0,1,0,1
"(188, 39)",0,0,1,1
"(189, 39)",0,0,1,1
"(190, 39)",1,1,1,0
"(191, 39)",0,1,0,1
"(192, 39)",1,0,1,0
"(193, 39)",1,0,0,1
"(194, 39)",0,1,1,0
"(195, 39)",0,0,0,1
"(196, 39)",1,1,1,0
"(197, 39)",1,0,0,1
"(198, 39)",1,0,1,0
"(199, 39)",0,0,0,1
"(200, 39)",1,0,1,0
"(201, 39)",1,0,0,1
"(202, 39)",0,1,1,0
"(203, 39)",0,1,0,1
"(204, 39)",1,0,1,0
"(205, 39)",0,1,0,0
"(206, 39)",1,0,0,1
"(207, 39)",0,1,1,0
"(208, 39)",1,0,0,1
"(209, 39)",0,1,1,0
"(210, 39)",0,1,0,1
"(211, 39)",1,0,1,1
"(212, 39)",0,0,1,1
"(213, 39)",0,0,1,1
"(214, 39)",0,0,1,1
"(215, 39)",1,1,1,0
"(216, 39)",1,0,0,1
"(217, 39)",1,0,1,1
"(218, 39)",0,0,1,0
"(219, 39)",1,0,0,1
"(220, 39)",0,1,1,0
"(221, 39)",1,1,0,0
"(222, 39)",1,0,0,0
"(223, 39)",1,0,0,1
"(224, 39)",0,0,1,1
"(225, 39)",0,0,1,1
"(226, 39)",1,0,1,0
"(227, 39)",1,1,0,0
"(228, 39)",1,0,0,1
"(229, 39)",0,1,1,0
"(230, 39)",1,0,0,0
"(231, 39)",1,1,0,0
"(232, 39)",0,1,0,1
"(233, 39)",0,0,1,1
"(234, 39)",1,0,1,0
"(235, 39)",0,1,0,0
"(236, 39)",1,1,0,1
"(237, 39)",0,0,1,0
"(238, 39)",0,1,0,1
"(239, 39)",0,0,1,1
"(240, 39)",0,0,1,1
"(241, 39)",0,1,1,0
"(242, 39)",1,1,0,0
"(243, 39)",1,1,0,0
"(244, 39)",1,0,0,1
"(245, 39)",0,1,1,0
"(246, 39)",1,1,0,0
"(247, 39)",1,1,0,1
"(248, 39)",0,0,1,0
"(249, 39)",1,0,0,1
"(250, 39)",0,1,1,0
"(1, 40)",1,0,0,0
"(2, 40)",1,0,0,1
"(3, 40)",0,0,1,1
"(4, 40)",1,0,1,0
"(5, 40)",0,1,0,1
"(6, 40)",0,1,1,0
"(7, 40)",1,1,0,0
"(8, 40)",1,0,0,1
"(9, 40)",0,1,1,0
"(10, 40)",1,0,0,1
"(11, 40)",0,1,1,0
"(12, 40)",1,0,0,1
"(13, 40)",1,1,1,0
"(14, 40)",1,1,0,0
"(15, 40)",1,0,0,1
"(16, 40)",0,1,1,1
"(17, 40)",1,0,1,0
"(18, 40)",0,1,0,1
"(19, 40)",1,0,1,0
"(20, 40)",0,1,0,1
"(21, 40)",0,0,1,1
"(22, 40)",0,1,1,0
"(23, 40)",0,1,0,1
"(24, 40)",0,1,1,1
"(25, 40)",0,0,1,1
"(26, 40)",1,0,1,0
"(27, 40)",0,1,0,1
"(28, 40)",0,1,1,0
"(29, 40)",1,1,0,1
"(30, 40)",1,0,1,0
"(31, 40)",1,1,0,0
"(32, 40)",1,0,0,1
"(33, 40)",0,0,1,1
"(34, 40)",1,0,1,0
"(35, 40)",0,1,0,0
"(36, 40)",1,1,0,0
"(37, 40)",1,1,0,0
"(38, 40)",1,0,0,1
"(39, 40)",0,0,1,1
"(40, 40)",0,0,1,1
"(41, 40)",0,0,1,1
"(42, 40)",1,0,1,0
"(43, 40)",1,0,0,1
"(44, 40)",0,1,1,0
"(45, 40)",1,0,0,1
"(46, 40)",1,0,1,0
"(47, 40)",1,0,0,1
"(48, 40)",0,0,1,1
"(49, 40)",0,1,1,0
"(50, 40)",1,1,0,0
"(51, 40)",0,1,0,1
"(52, 40)",0,0,1,1
"(53, 40)",0,0,1,1
"(54, 40)",0,0,1,1
"(55, 40)",0,1,1,0
"(56, 40)",0,1,0,1
"(57, 40)",1,0,1,0
"(58, 40)",0,1,0,0
"(59, 40)",1,1,0,0
"(60, 40)",1,0,0,1
"(61, 40)",0,1,1,0
"(62, 40)",1,1,0,0
"(63, 40)",1,0,0,1
"(64, 40)",0,0,1,1
"(65, 40)",1,0,1,0
"(66, 40)",1,0,0,1
"(67, 40)",0,1,1,0
"(68, 40)",1,0,0,1
"(69, 40)",1,0,1,0
"(70, 40)",0,1,0,1
"(71, 40)",1,0,1,0
"(72, 40)",0,1,0,1
"(73, 40)",0,0,1,1
"(74, 40)",0,1,1,0
"(75, 40)",1,0,0,1
"(76, 40)",0,0,1,1
"(77, 40)",1,0,1,0
"(78, 40)",1,1,0,0
"(79, 40)",1,0,0,1
"(80, 40)",0,1,1,0
"(81, 40)",0,1,0,1
"(82, 40)",0,0,1,1
"(83, 40)",0,0,1,0
"(84, 40)",1,0,0,1
"(85, 40)",0,1,1,0
"(86, 40)",1,1,0,0
"(87, 40)",1,0,0,1
"(88, 40)",1,0,1,0
"(89, 40)",1,0,0,1
"(90, 40)",0,1,1,1
"(91, 40)",0,1,1,0
"(92, 40)",0,1,0,1
"(93, 40)",0,0,1,1
"(94, 40)",1,0,1,0
"(95, 40)",1,1,0,0
"(96, 40)",0,0,0,1
"(97, 40)",0,1,1,0
"(98, 40)",0,1,0,1
"(99, 40)",1,0,1,0
"(100, 40)",1,1,0,0
"(101, 40)",1,0,0,1
"(102, 40)",0,1,1,0
"(103, 40)",1,0,0,1
"(104, 40)",0,1,1,0
"(105, 40)",1,1,0,0
"(106, 40)",0,1,0,1
"(107, 40)",0,0,1,1
"(108, 40)",0,1,1,0
"(109, 40)",1,1,0,0
"(110, 40)",0,1,0,1
"(111, 40)",0,0,1,1
"(112, 40)",0,0,1,1
"(113, 40)",1,0,1,0
"(114, 40)",1,0,0,0
"(115, 40)",0,1,0,1
"(116, 40)",1,0,1,0
"(117, 40)",0,1,0,1
"(118, 40)",1,0,1,0
"(119, 40)",0,1,0,1
"(120, 40)",0,1,1,0
"(121, 40)",1,1,0,0
"(122, 40)",1,0,0,1
"(123, 40)",1,0,1,0
"(124, 40)",1,1,0,0
"(125, 40)",1,1,0,0
"(126, 40)",0,1,0,1
"(127, 40)",0,0,1,1
"(128, 40)",1,0,1,0
"(129, 40)",1,1,0,0
"(130, 40)",0,0,0,1
"(131, 40)",1,0,1,0
"(132, 40)",0,1,0,1
"(133, 40)",1,0,1,0
"(134, 40)",0,1,0,1
"(135, 40)",1,0,1,0
"(136, 40)",0,1,0,0
"(137, 40)",0,1,0,1
"(138, 40)",0,0,1,1
"(139, 40)",0,1,1,0
"(140, 40)",1,1,0,0
"(141, 40)",1,0,0,1
"(142, 40)",1,0,1,0
"(143, 40)",0,1,0,1
"(144, 40)",1,1,1,0
"(145, 40)",1,0,0,1
"(146, 40)",0,0,1,1
"(147, 40)",0,1,1,0
"(148, 40)",1,0,0,0
"(149, 40)",1,0,0,1
"(150, 40)",0,0,1,1
"(151, 40)",0,1,1,0
"(152, 40)",0,0,0,1
"(153, 40)",0,0,1,1
"(154, 40)",0,0,1,1
"(155, 40)",0,1,1,1
"(156, 40)",1,0,1,0
"(157, 40)",1,0,0,1
"(158, 40)",0,0,1,1
"(159, 40)",1,0,1,0
"(160, 40)",1,0,0,1
"(161, 40)",1,0,1,0
"(162, 40)",0,1,0,1
"(163, 40)",0,0,1,1
"(164, 40)",0,0,1,1
"(165, 40)",1,0,1,0
"(166, 40)",1,1,0,0
"(167, 40)",1,1,0,0
"(168, 40)",0,1,0,0
"(169, 40)",1,1,0,0
"(170, 40)",1,0,0,0
"(171, 40)",1,0,0,1
"(172, 40)",0,0,1,1
"(173, 40)",0,1,1,0
"(174, 40)",1,0,0,1
"(175, 40)",0,0,1,0
"(176, 40)",0,1,0,1
"(177, 40)",1,0,1,0
"(178, 40)",1,0,0,1
"(179, 40)",1,1,1,0
"(180, 40)",0,0,0,1
"(181, 40)",1,0,1,0
"(182, 40)",1,1,0,0
"(183, 40)",1,1,0,0
"(184, 40)",1,1,0,0
"(185, 40)",1,1,0,0
"(186, 40)",0,1,0,1
"(187, 40)",1,0,1,1
"(188, 40)",0,0,1,1
"(189, 40)",0,0,1,1
"(190, 40)",0,1,1,0
"(191, 40)",1,0,0,1
"(192, 40)",1,1,1,0
"(193, 40)",1,1,0,0
"(194, 40)",1,0,0,1
"(195, 40)",1,0,1,0
"(196, 40)",1,1,0,0
"(197, 40)",1,1,0,0
"(198, 40)",0,1,0,1
"(199, 40)",1,0,1,0
"(200, 40)",1,1,0,0
"(201, 40)",0,1,0,1
"(202, 40)",1,0,1,0
"(203, 40)",1,0,0,0
"(204, 40)",0,1,0,1
"(205, 40)",0,0,1,1
"(206, 40)",0,1,1,0
"(207, 40)",1,0,0,0
"(208, 40)",0,1,0,1
"(209, 40)",1,0,1,0
"(210, 40)",1,0,0,1
"(211, 40)",0,1,1,0
"(212, 40)",1,0,0,1
"(213, 40)",0,0,1,1
"(214, 40)",1,0,1,0
"(215, 40)",0,1,0,0
"(216, 40)",1,1,0,0
"(217, 40)",0,1,0,1
"(218, 40)",0,0,1,1
"(219, 40)",0,1,1,1
"(220, 40)",0,0,1,0
"(221, 40)",0,1,0,1
"(222, 40)",1,1,1,0
"(223, 40)",0,1,0,1
"(224, 40)",0,0,1,1
"(225, 40)",1,0,1,0
"(226, 40)",0,1,0,1
"(227, 40)",0,1,1,0
"(228, 40)",0,1,0,1
"(229, 40)",0,0,1,1
"(230, 40)",1,1,1,0
"(231, 40)",0,1,0,1
"(232, 40)",0,0,1,1
"(233, 40)",1,0,1,0
"(234, 40)",0,1,0,1
"(235, 40)",1,0,1,0
"(236, 40)",0,1,0,0
"(237, 40)",1,0,0,1
"(238, 40)",0,0,1,1
"(239, 40)",0,0,1,1
"(240, 40)",0,0,1,1
"(241, 40)",0,0,1,1
"(242, 40)",0,1,1,0
"(243, 40)",0,1,0,1
"(244, 40)",0,1,1,0
"(245, 40)",1,0,0,1
"(246, 40)",0,1,1,0
"(247, 40)",0,1,0,0
"(248, 40)",1,0,0,1
"(249, 40)",0,1,1,0
"(250, 40)",1,0,0,0
"(1, 41)",1,1,0,1
"(2, 41)",0,1,1,1
"(3, 41)",0,0,1,0
"(4, 41)",0,1,0,1
"(5, 41)",1,0,1,1
"(6, 41)",0,0,1,0
"(7, 41)",1,1,0,0
"(8, 41)",1,1,0,0
"(9, 41)",0,0,0,1
"(10, 41)",1,1,1,0
"(11, 41)",1,0,0,1
"(12, 41)",0,1,1,0
"(13, 41)",0,1,0,0
"(14, 41)",1,1,0,0
"(15, 41)",1,1,0,1
"(16, 41)",0,0,1,0
"(17, 41)",0,1,0,1
"(18, 41)",1,0,1,0
"(19, 41)",0,1,0,1
"(20, 41)",0,0,1,1
"(21, 41)",0,0,1,1
"(22, 41)",0,0,1,1
"(23, 41)",0,0,1,1
"(24, 41)",1,0,1,1
"(25, 41)",1,0,1,0
"(26, 41)",0,1,0,1
"(27, 41)",0,0,1,1
"(28, 41)",0,0,1,1
"(29, 41)",0,1,1,0
"(30, 41)",1,1,0,0
"(31, 41)",1,1,0,0
"(32, 41)",0,1,0,1
"(33, 41)",1,0,1,0
"(34, 41)",0,1,0,1
"(35, 41)",0,0,1,1
"(36, 41)",0,1,1,0
"(37, 41)",0,1,0,1
"(38, 41)",0,1,1,1
"(39, 41)",0,0,1,1
"(40, 41)",0,0,1,1
"(41, 41)",0,0,1,0
"(42, 41)",0,1,0,1
"(43, 41)",1,1,1,0
"(44, 41)",1,0,0,1
"(45, 41)",0,1,1,0
"(46, 41)",0,1,0,1
"(47, 41)",0,1,1,0
"(48, 41)",1,0,0,1
"(49, 41)",0,0,1,1
"(50, 41)",0,1,1,0
"(51, 41)",1,0,0,1
"(52, 41)",0,0,1,1
"(53, 41)",0,0,1,1
"(54, 41)",1,0,1,0
"(55, 41)",1,0,0,1
"(56, 41)",0,0,1,1
"(57, 41)",1,1,1,0
"(58, 41)",1,0,0,1
"(59, 41)",0,1,1,0
"(60, 41)",0,1,0,1
"(61, 41)",0,0,1,0
"(62, 41)",0,1,0,1
"(63, 41)",1,1,1,0
"(64, 41)",1,0,0,0
"(65, 41)",1,1,0,0
"(66, 41)",0,1,0,1
"(67, 41)",1,0,1,0
"(68, 41)",1,1,0,0
"(69, 41)",0,1,0,1
"(70, 41)",1,0,1,0
"(71, 41)",1,1,0,0
"(72, 41)",1,0,0,1
"(73, 41)",0,0,1,1
"(74, 41)",1,0,1,0
"(75, 41)",0,1,0,1
"(76, 41)",1,0,1,0
"(77, 41)",0,1,0,1
"(78, 41)",0,1,1,0
"(79, 41)",1,1,0,0
"(80, 41)",1,0,0,1
"(81, 41)",0,0,1,1
"(82, 41)",0,0,1,1
"(83, 41)",1,0,1,0
"(84, 41)",0,1,0,1
"(85, 41)",1,0,1,0
"(86, 41)",0,1,0,1
"(87, 41)",0,1,1,0
"(88, 41)",0,1,0,1
"(89, 41)",0,1,1,0
"(90, 41)",1,0,0,1
"(91, 41)",0,0,1,1
"(92, 41)",0,0,1,1
"(93, 41)",1,0,1,0
"(94, 41)",1,1,0,0
"(95, 41)",0,1,0,1
"(96, 41)",1,0,1,1
"(97, 41)",0,0,1,1
"(98, 41)",0,0,1,1
"(99, 41)",0,1,1,0
"(100, 41)",0,1,0,1
"(101, 41)",0,1,1,0
"(102, 41)",1,0,0,0
"(103, 41)",1,1,0,0
"(104, 41)",0,0,0,1
"(105, 41)",0,1,1,1
"(106, 41)",1,0,1,1
"(107, 41)",0,0,1,1
"(108, 41)",1,0,1,0
"(109, 41)",0,1,0,1
"(110, 41)",0,0,1,1
"(111, 41)",0,0,1,1
"(112, 41)",1,0,1,0
"(113, 41)",0,1,0,1
"(114, 41)",0,1,1,1
"(115, 41)",1,0,1,0
"(116, 41)",1,1,0,0
"(117, 41)",1,0,0,1
"(118, 41)",0,1,1,0
"(119, 41)",1,0,0,1
"(120, 41)",0,0,1,0
"(121, 41)",1,1,0,0
"(122, 41)",1,1,0,0
"(123, 41)",0,1,0,1
"(124, 41)",0,1,1,0
"(125, 41)",0,1,0,1
"(126, 41)",0,0,1,1
"(127, 41)",1,0,1,0
"(128, 41)",1,1,0,0
"(129, 41)",1,1,0,0
"(130, 41)",1,0,0,1
"(131, 41)",0,1,1,1
"(132, 41)",0,0,1,0
"(133, 41)",0,1,0,1
"(134, 41)",1,0,1,0
"(135, 41)",0,1,0,1
"(136, 41)",0,0,1,1
"(137, 41)",0,0,1,1
"(138, 41)",0,0,1,1
"(139, 41)",0,0,1,1
"(140, 41)",0,1,1,0
"(141, 41)",1,1,0,0
"(142, 41)",1,1,0,1
"(143, 41)",1,0,1,0
"(144, 41)",1,1,0,0
"(145, 41)",1,1,0,0
"(146, 41)",1,0,0,1
"(147, 41)",0,0,1,1
"(148, 41)",0,1,1,1
"(149, 41)",0,1,1,0
"(150, 41)",1,0,0,1
"(151, 41)",1,0,1,0
"(152, 41)",1,0,0,1
"(153, 41)",0,0,1,1
"(154, 41)",1,0,1,0
"(155, 41)",1,0,0,1
"(156, 41)",1,1,1,0
"(157, 41)",0,1,0,1
"(158, 41)",1,0,1,0
"(159, 41)",0,1,0,1
"(160, 41)",0,1,1,0
"(161, 41)",0,1,0,1
"(162, 41)",1,0,1,1
"(163, 41)",1,0,1,0
"(164, 41)",1,0,0,0
"(165, 41)",1,1,0,0
"(166, 41)",1,1,0,0
"(167, 41)",0,1,0,1
"(168, 41)",0,0,1,1
"(169, 41)",0,1,1,1
"(170, 41)",0,1,1,0
"(171, 41)",0,1,0,1
"(172, 41)",1,0,1,0
"(173, 41)",1,0,0,1
"(174, 41)",0,1,1,0
"(175, 41)",1,0,0,1
"(176, 41)",0,0,1,1
"(177, 41)",0,1,1,0
"(178, 41)",1,1,0,0
"(179, 41)",1,1,0,1
"(180, 41)",0,0,1,1
"(181, 41)",0,1,1,0
"(182, 41)",0,1,0,1
"(183, 41)",0,1,1,0
"(184, 41)",1,1,0,0
"(185, 41)",0,1,0,1
"(186, 41)",1,0,1,0
"(187, 41)",0,1,0,0
"(188, 41)",1,0,0,1
"(189, 41)",0,0,1,1
"(190, 41)",0,0,1,1
"(191, 41)",0,1,1,0
"(192, 41)",1,1,0,0
"(193, 41)",0,1,0,1
"(194, 41)",0,1,1,0
"(195, 41)",1,1,0,0
"(196, 41)",0,1,0,0
"(197, 41)",1,1,0,0
"(198, 41)",1,0,0,1
"(199, 41)",0,1,1,0
"(200, 41)",0,1,0,1
"(201, 41)",1,0,1,1
"(202, 41)",0,1,1,0
"(203, 41)",1,1,0,1
"(204, 41)",0,0,1,1
"(205, 41)",1,0,1,0
"(206, 41)",1,0,0,1
"(207, 41)",1,1,1,0
"(208, 41)",1,0,0,1
"(209, 41)",0,1,1,0
"(210, 41)",1,1,0,0
"(211, 41)",1,0,0,1
"(212, 41)",0,1,1,0
"(213, 41)",1,0,0,0
"(214, 41)",1,1,0,0
"(215, 41)",1,0,0,1
"(216, 41)",0,1,1,0
"(217, 41)",1,0,0,0
"(218, 41)",1,0,0,1
"(219, 41)",0,0,1,1
"(220, 41)",0,0,1,1
"(221, 41)",1,0,1,0
"(222, 41)",1,1,0,0
"(223, 41)",1,0,0,1
"(224, 41)",1,0,1,0
"(225, 41)",1,1,0,0
"(226, 41)",1,0,0,1
"(227, 41)",1,0,1,0
"(228, 41)",1,0,0,1
"(229, 41)",1,0,1,0
"(230, 41)",0,1,0,1
"(231, 41)",0,0,1,1
"(232, 41)",1,0,1,0
"(233, 41)",0,1,0,1
"(234, 41)",1,0,1,0
"(235, 41)",0,1,0,1
"(236, 41)",0,0,1,1
"(237, 41)",0,1,1,0
"(238, 41)",0,0,0,1
"(239, 41)",1,0,1,0
"(240, 41)",1,0,0,1
"(241, 41)",0,0,1,1
"(242, 41)",0,0,1,1
"(243, 41)",1,0,1,1
"(244, 41)",1,0,1,1
"(245, 41)",0,1,1,0
"(246, 41)",1,0,0,1
"(247, 41)",0,0,1,1
"(248, 41)",0,1,1,0
"(249, 41)",1,0,0,1
"(250, 41)",1,1,1,0
"(1, 42)",1,1,0,0
"(2, 42)",1,0,0,1
"(3, 42)",0,0,1,1
"(4, 42)",0,0,1,1
"(5, 42)",0,1,1,0
"(6, 42)",1,0,0,1
"(7, 42)",0,1,1,0
"(8, 42)",0,1,0,1
"(9, 42)",1,0,1,0
"(10, 42)",0,1,0,1
"(11, 42)",1,1,1,0
"(12, 42)",1,0,0,1
"(13, 42)",0,0,1,1
"(14, 42)",0,1,1,0
"(15, 42)",0,1,0,0
"(16, 42)",1,0,0,1
"(17, 42)",0,0,1,1
"(18, 42)",1,1,1,0
"(19, 42)",0,0,0,1
"(20, 42)",1,0,1,1
"(21, 42)",1,0,1,0
"(22, 42)",1,0,0,1
"(23, 42)",1,0,1,0
"(24, 42)",1,1,0,0
"(25, 42)",0,1,0,1
"(26, 42)",0,0,1,1
"(27, 42)",0,0,1,0
"(28, 42)",1,0,0,1
"(29, 42)",0,0,1,1
"(30, 42)",0,1,1,0
"(31, 42)",0,1,0,1
"(32, 42)",1,0,1,0
"(33, 42)",1,1,0,0
"(34, 42)",1,0,0,1
"(35, 42)",0,0,1,0
"(36, 42)",1,0,0,1
"(37, 42)",0,0,1,1
"(38, 42)",1,0,1,0
"(39, 42)",1,0,0,1
"(40, 42)",0,0,1,1
"(41, 42)",0,0,1,1
"(42, 42)",1,0,1,0
"(43, 42)",0,1,0,1
"(44, 42)",0,1,1,0
"(45, 42)",0,0,0,1
"(46, 42)",0,0,1,1
"(47, 42)",0,0,1,1
"(48, 42)",0,1,1,1
"(49, 42)",1,0,1,0
"(50, 42)",0,0,0,1
"(51, 42)",1,1,1,0
"(52, 42)",1,0,0,1
"(53, 42)",0,0,1,0
"(54, 42)",1,1,0,0
"(55, 42)",1,1,0,0
"(56, 42)",1,0,0,1
"(57, 42)",0,1,1,0
"(58, 42)",0,1,0,1
"(59, 42)",0,0,1,1
"(60, 42)",0,0,1,1
"(61, 42)",1,0,1,1
"(62, 42)",1,0,1,0
"(63, 42)",0,1,0,1
"(64, 42)",0,1,1,0
"(65, 42)",1,1,0,1
"(66, 42)",1,0,1,0
"(67, 42)",1,1,0,0
"(68, 42)",0,1,0,0
"(69, 42)",1,0,0,1
"(70, 42)",0,1,1,0
"(71, 42)",0,1,0,1
"(72, 42)",1,1,1,0
"(73, 42)",0,0,0,1
"(74, 42)",0,1,1,1
"(75, 42)",0,0,1,0
"(76, 42)",1,1,0,1
"(77, 42)",1,0,1,0
"(78, 42)",0,0,0,1
"(79, 42)",1,1,1,0
"(80, 42)",0,1,0,1
"(81, 42)",0,0,1,1
"(82, 42)",1,0,1,0
"(83, 42)",0,1,0,1
"(84, 42)",0,0,1,1
"(85, 42)",0,1,1,0
"(86, 42)",1,0,0,1
"(87, 42)",0,0,1,1
"(88, 42)",1,0,1,0
"(89, 42)",1,0,0,1
"(90, 42)",0,1,1,1
"(91, 42)",1,0,1,0
"(92, 42)",0,0,0,1
"(93, 42)",0,1,1,0
"(94, 42)",0,1,0,1
"(95, 42)",1,0,1,0
"(96, 42)",0,1,0,1
"(97, 42)",0,0,1,1
"(98, 42)",1,0,1,0
"(99, 42)",1,0,0,1
"(100, 42)",1,0,1,1
"(101, 42)",1,0,1,0
"(102, 42)",1,1,0,0
"(103, 42)",0,1,0,1
"(104, 42)",1,0,1,0
"(105, 42)",1,0,0,1
"(106, 42)",0,1,1,0
"(107, 42)",1,0,0,1
"(108, 42)",0,1,1,0
"(109, 42)",1,0,0,1
"(110, 42)",1,0,1,0
"(111, 42)",1,0,0,1
"(112, 42)",1,1,1,0
"(113, 42)",1,0,0,1
"(114, 42)",0,0,1,1
"(115, 42)",0,1,1,0
"(116, 42)",1,1,0,0
"(117, 42)",1,1,0,0
"(118, 42)",1,0,0,1
"(119, 42)",0,1,1,0
"(120, 42)",1,0,0,1
"(121, 42)",0,1,1,0
"(122, 42)",1,1,0,0
"(123, 42)",1,0,0,1
"(124, 42)",0,0,1,1
"(125, 42)",1,0,1,0
"(126, 42)",1,0,0,1
"(127, 42)",0,1,1,0
"(128, 42)",0,1,0,1
"(129, 42)",0,1,1,0
"(130, 42)",0,1,0,1
"(131, 42)",0,0,1,1
"(132, 42)",1,0,1,1
"(133, 42)",0,0,1,0
"(134, 42)",0,1,0,1
"(135, 42)",1,0,1,0
"(136, 42)",1,0,0,1
"(137, 42)",1,0,1,0
"(138, 42)",1,0,0,1
"(139, 42)",1,0,1,0
"(140, 42)",1,0,0,1
"(141, 42)",0,1,1,0
"(142, 42)",1,1,0,0
"(143, 42)",0,1,0,0
"(144, 42)",1,1,0,0
"(145, 42)",1,1,0,0
"(146, 42)",1,1,0,0
"(147, 42)",0,0,0,1
"(148, 42)",1,0,1,1
"(149, 42)",0,0,1,1
"(150, 42)",0,1,1,0
"(151, 42)",0,1,0,1
"(152, 42)",0,1,1,0
"(153, 42)",1,0,0,1
"(154, 42)",0,1,1,1
"(155, 42)",0,1,1,0
"(156, 42)",0,1,0,1
"(157, 42)",0,0,1,0
"(158, 42)",1,1,0,1
"(159, 42)",0,0,1,1
"(160, 42)",0,0,1,0
"(161, 42)",1,0,0,1
"(162, 42)",0,1,1,0
"(163, 42)",0,1,0,1
"(164, 42)",1,1,1,0
"(165, 42)",1,1,0,0
"(166, 42)",0,1,0,1
"(167, 42)",0,0,1,1
"(168, 42)",0,0,1,1
"(169, 42)",0,0,1,1
"(170, 42)",0,0,1,1
"(171, 42)",1,0,1,0
"(172, 42)",1,1,0,0
"(173, 42)",0,1,0,1
"(174, 42)",0,0,1,1
"(175, 42)",0,1,1,1
"(176, 42)",0,0,1,1
"(177, 42)",0,0,1,1
"(178, 42)",0,1,1,0
"(179, 42)",0,1,0,0
"(180, 42)",1,0,0,1
"(181, 42)",0,0,1,1
"(182, 42)",0,0,1,1
"(183, 42)",0,0,1,1
"(184, 42)",0,1,1,1
"(185, 42)",0,0,1,1
"(186, 42)",0,1,1,1
"(187, 42)",0,0,1,1
"(188, 42)",0,1,1,0
"(189, 42)",1,0,0,1
"(190, 42)",0,0,1,1
"(191, 42)",0,0,1,0
"(192, 42)",0,1,0,1
"(193, 42)",1,0,1,0
"(194, 42)",1,0,0,0
"(195, 42)",0,1,0,1
"(196, 42)",0,0,1,1
"(197, 42)",0,1,1,0
"(198, 42)",0,1,0,1
"(199, 42)",0,0,1,1
"(200, 42)",1,0,1,0
"(201, 42)",0,1,0,1
"(202, 42)",0,0,1,1
"(203, 42)",0,1,1,0
"(204, 42)",1,0,0,1
"(205, 42)",0,1,1,0
"(206, 42)",1,1,0,0
"(207, 42)",1,1,0,0
"(208, 42)",1,1,0,0
"(209, 42)",1,0,0,1
"(210, 42)",0,1,1,0
"(211, 42)",0,1,0,1
"(212, 42)",1,0,1,0
"(213, 42)",1,1,0,0
"(214, 42)",1,1,0,0
"(215, 42)",0,1,0,1
"(216, 42)",0,0,1,1
"(217, 42)",1,1,1,0
"(218, 42)",1,1,0,0
"(219, 42)",1,0,0,1
"(220, 42)",0,0,1,0
"(221, 42)",1,1,0,0
"(222, 42)",1,1,0,0
"(223, 42)",1,1,0,0
"(224, 42)",1,1,0,0
"(225, 42)",0,1,0,1
"(226, 42)",0,1,1,0
"(227, 42)",1,1,0,0
"(228, 42)",1,1,0,0
"(229, 42)",0,1,0,1
"(230, 42)",0,0,1,1
"(231, 42)",1,0,1,1
"(232, 42)",0,1,1,1
"(233, 42)",0,0,1,0
"(234, 42)",1,1,0,1
"(235, 42)",1,0,1,0
"(236, 42)",1,0,0,1
